Date,Open,High,Low,Close,Adj Close,Volume
2023-06-28,65.650002,67.730003,65.389999,67.070000,66.944031,27100100
2023-06-29,67.839996,67.949997,63.549999,64.330002,64.209183,51141900
2023-06-30,64.500000,65.099998,62.900002,63.110001,62.991470,31530900
2023-07-03,63.439999,64.320000,63.259998,63.900002,63.779987,12921300
2023-07-05,63.500000,63.750000,62.020000,62.060001,61.943443,16553000
2023-07-06,60.990002,61.790001,60.500000,61.230000,61.115002,15607300
2023-07-07,61.430000,61.490002,60.630001,60.650002,60.650002,15011100
2023-07-10,60.830002,62.830002,60.580002,62.480000,62.480000,16953100
2023-07-11,62.599998,63.669998,62.310001,63.599998,63.599998,13464500
2023-07-12,64.470001,64.699997,63.130001,63.790001,63.790001,13953600
2023-07-13,64.180000,64.650002,63.549999,64.529999,64.529999,11384700
2023-07-14,64.300003,65.540001,63.680000,64.080002,64.080002,13851400
2023-07-17,63.799999,65.669998,63.340000,65.160004,65.160004,11333600
2023-07-18,64.370003,65.120003,63.750000,64.940002,64.940002,10402300
2023-07-19,65.629997,65.760002,64.800003,64.959999,64.959999,9463900
2023-07-20,64.400002,65.550003,64.250000,64.690002,64.690002,12745100
2023-07-21,65.290001,66.160004,64.339996,65.650002,65.650002,24536900
2023-07-24,65.360001,66.639999,65.220001,65.480003,65.480003,10272700
2023-07-25,65.400002,66.000000,65.080002,65.680000,65.680000,8610900
2023-07-26,65.000000,67.879997,65.000000,67.379997,67.379997,14920600
2023-07-27,70.480003,72.339996,69.959999,71.070000,71.070000,25068300
2023-07-28,71.580002,72.129997,70.660004,71.199997,71.199997,11932900
2023-07-31,71.120003,71.769997,70.870003,71.389999,71.389999,11193800
2023-08-01,71.000000,71.080002,69.889999,70.760002,70.760002,13141100
2023-08-02,69.750000,69.849998,67.339996,68.169998,68.169998,14004400
2023-08-03,67.570000,69.389999,67.160004,69.180000,69.180000,11075200
2023-08-04,69.500000,70.930000,69.129997,69.910004,69.910004,11250200
2023-08-07,69.849998,70.230003,68.830002,69.379997,69.379997,10537500
2023-08-08,68.699997,68.690002,66.959999,67.650002,67.650002,14755138
